team_name,members
Avengers (1950s) (Earth-616),"['Aquaria Neptunia (Earth-616)', 'Duvid Fortunov (Earth-616)', 'Ernst Sablinova (Earth-616)', 'Louise Grant (Earth-616)', 'Nicholas Fury (Earth-616)', 'Sergei Kravinoff (Earth-616)', 'Timothy Dugan (Earth-616)', 'Ulysses Bloodstone (Earth-616)', 'Victor Creed (Earth-616)']"
Black Seers of Yimsha (Earth-616),[]
Ramone Family (Earth-616),[]
Hill-Forest People (Earth-616),[]
Four Horsemen (Geraci) (Earth-616),"['Horace Halftree (Earth-616)', 'Kim Sung Young (Earth-616)', 'Leslie Geraci (Earth-616)', 'Vinnie Barbarossa (Earth-616)']"
Avengers Idea Mechanics (Earth-616),"['Agent Larry (Earth-616)', 'Aikku Jokinen (Earth-616)', 'Ava Ayala (Earth-616)', 'Children of the Sun', 'Chris Quinn (Earth-616)', 'Clinton Barton (Earth-616)', 'Doreen Green (Earth-616)', ""Mandy O'Connor (Earth-616)"", 'Max Brashear (Earth-616)', 'Melissa Gold (Earth-616)', 'Planetary Operational Defense System (Earth-616)', 'Planetary Operational Defense System 2 (Earth-616)', 'Roberto Da Costa (Earth-616)', 'Samuel Guthrie (Earth-616)', 'Theodore Altman (Earth-616)', 'Tippy-Toe (Earth-616)', 'Toni Ho (Earth-616)', 'Víctor Álvarez (Earth-616)', 'Warlock (Technarch) (Earth-616)', 'William Kaplan (Earth-616)']"
Cell-12 (Earth-616),"['Andros (Earth-616)', 'Bramer (Earth-616)', 'Lasher (Cell-12) (Earth-616)', 'Nardi (Earth-616)']"
Frightful Four (Earth-616),"['Abner Jenkins (Earth-616)', 'Anthony Masters (Earth-616)', 'Bentley Wittman (Earth-616)', 'Blastaar (Earth-616)', 'Bram Velsing (Earth-616)', 'Brian Calusky (Earth-616)', 'Carl Creel (Earth-616)', 'Cole Wittman (Earth-616)', 'Dirk Garthwaite (Earth-616)', 'Draconus (Earth-616)', 'Eliot Franklin (Thunderball) (Earth-616)', 'Frank Payne (Earth-616)', 'Gazelle (Scratch) (Earth-616)', 'Ivan Kragoff (Earth-616)', 'Karlin Malus (Earth-616)', ""Kl'rt (Earth-616)"", 'Llyra Morris (Earth-616)', 'Lyra (Earth-8009)', 'Marci Camp (Earth-616)', 'Mary MacPherran (Earth-616)', 'Maxwell Dillon (Earth-616)', 'Medusalith Amaquelin (Earth-616)', 'Morris Bench (Earth-616)', 'Peter Parker (Earth-616)', 'Peter Petruski (Earth-616)', ""Punisher (Galactus' Robot) (Earth-616)"", 'Reed Richards (Counter-Earth) (Earth-616)', 'Reptilla (Earth-616)', 'Salamandra (Earth-616)', 'Sharon Ventura (Earth-616)', 'Thundra (Earth-715)', 'Ulysses Klaw (Earth-616)', ""Vertigo (Salem's Seven) (Earth-616)"", 'Wade Wilson (Earth-616)', 'William Baker (Earth-616)', 'William Taurens (Earth-616)']"
Axis (Avengers) (Earth-616),"['Anthony Stark (Earth-616)', 'Bruce Banner (Earth-616)', 'Janet Van Dyne (Earth-616)', 'Luke Cage (Earth-616)', 'Medusalith Amaquelin (Earth-616)', 'Samuel Wilson (Earth-616)', 'Thor Odinson (Earth-616)', 'Wanda Maximoff (Earth-616)']"
Quiet Council of Krakoa (Earth-616),"['Bennet du Paris (Earth-616)', 'Charles Xavier (Earth-616)', 'Douglas Ramsey (Earth-616)', 'Emma Frost (Earth-616)', 'En Sabah Nur (Earth-616)', 'Irene Adler (Earth-616)', 'Jean Grey (Earth-616)', 'Katherine Pryde (Earth-616)', 'Krakoa (Earth-616)', 'Kurt Wagner (Earth-616)', 'Max Eisenhardt (Earth-616)', 'Nathaniel Essex (Earth-616)', 'Ororo Munroe (Earth-616)', 'Piotr Rasputin (Earth-616)', 'Raven Darkholme (Earth-616)', 'Sebastian Shaw (Earth-616)']"
M.L.A. (Earth-616),[]
Skrull Imperial Starfleet (Earth-616),"[""K'Targh (Earth-616)"", 'Kalxor (Earth-616)', 'Syrro (Earth-616)', 'Zedrao (Earth-616)']"
Commedia Dell'Morte (Earth-616),"['Captain Scaramouche (Earth-616)', 'Columbina (Earth-616)', 'La Signora (Earth-616)', 'Mister Punch (Earth-616)', 'Pagliacci (Earth-616)', 'Pantalone (Earth-616)']"
Banshee Squadron (Earth-616),"['Delores Diddle (Earth-616)', 'Geraldine Quimby (Earth-616)']"
Corsican Brotherhood (Earth-616),"['Doctor Malheur (Earth-616)', 'Willie Chauvin (Earth-616)']"
Zugite Cult (Earth-616),[]
Serpent Society (Earth-616),"['Aaron Salomon (Earth-616)', 'Ariana Saddiqi (Earth-616)', 'Beatrix Keener (Earth-616)', 'Blanche Sitznski (Earth-616)', 'Bruiser (Mercenary) (Earth-616)', 'Burchell Clemens (Earth-616)', 'Cleopatra Nefertiti (Earth-616)', ""Constrictor (Frank Payne's son) (Earth-616)"", 'Davis Lawfers (Earth-616)', 'Edward Lavell (Earth-616)', 'Gordon Fraley (Earth-616)', 'Gregory Bryan (Earth-616)', 'Gustav Krueger (Earth-616)', 'Jordan Dixon (Earth-616)', 'Klaus Voorhees (Earth-616)', ""M'Gula (Earth-616)"", 'Marc Riemer (Earth-616)', 'Ophelia Sarkissian (Earth-616)', 'Piet Voorhees (Earth-616)', 'Quincy McIver (Earth-616)', 'Rachel Leighton (Earth-616)', 'Roland Burroughs (Earth-616)', 'Seth Voelker (Earth-616)', 'Tanya Sealy (Earth-616)', 'Teresa Vasquez (Earth-616)', 'Theodore Scott (Earth-616)', 'Zelda DuBois (Earth-616)']"
D.A.N.T.E. (Earth-616),[]
EuroLab (Earth-616),"['Antonio Rey (Earth-616)', 'Dolph Dongen (Earth-616)', 'Geyr Kluge (Earth-616)', 'Jane Melville (Earth-616)', 'Silvie Rouge (Earth-616)']"
Soviet Super-Soldiers (Alpha Gen) (Earth-616),"['Boris Monguski (Earth-616)', 'Crimson Dynamo XI (Earth-616)', 'Igor Grozick (Earth-616)', 'Iron Maiden (USSR) (Earth-616)', 'Thermal Man (Earth-616)', 'Yuri Topolov (Earth-616)']"
Arlington County Police Department (Earth-616),['Matthew Lin (Earth-616)']
Hell Lords (Earth-616),"['Aqquoonkagua (Earth-616)', 'Asmodeus (Demon) (Earth-616)', 'Beelzeboul (Earth-616)', 'Beelzebub (Earth-616)', 'Belasco (Earth-616)', 'Belial (Demon) (Earth-616)', 'Blackheart (Earth-616)', ""D'Kay (Earth-616)"", 'Daimon Hellstrom (Earth-616)', 'Dansker (Earth-616)', 'Dormammu (Earth-616)', 'Guido Carosella (Earth-616)', 'Hades (Earth-616)', 'Hela (Earth-616)', ""Kx'ulthuum (Earth-616)"", 'Lucifer (Earth-616)', 'Marduk Kurios (Earth-616)', 'Mephisto (Earth-616)', 'Murray (Hell-Lord) (Earth-616)', 'Olivier (Earth-616)', 'Satana Hellstrom (Earth-616)', 'Satannish (Earth-616)', 'Thog (Earth-616)', 'Umar (Earth-616)', 'Xuthl (Earth-616)']"
Fujikawa Industries (Earth-616),"['Chow Yong (Earth-616)', 'Kenjiro Fujikawa (Earth-616)', 'Rumiko Fujikawa (Earth-616)', 'Yu Kirin (Earth-616)']"
Dark Guard (Earth-616),"['Julius Mullarkey (Earth-616)', 'Kith Nasca (Earth-616)', 'Minion (Earth-8410)', 'Peter Hunter (Earth-616)', 'Shevaun Haldane (Earth-616)']"
Kanto Tribe (Earth-616),[]
Undead MC (Earth-616),"['Earl Flatt (Earth-616)', 'Felicity Sharpe (Earth-616)', 'Lorena Haam (Earth-616)', 'Orlando Briggs (Earth-616)', 'Wolcott Farris (Earth-616)', 'Woodrow Mencken (Earth-616)']"
Fangs (Earth-616),"['Aaron Salomon (Earth-616)', 'Anthony Manning (Earth-616)', 'Fredric Woolrich (Earth-616)', 'Ophelia Sarkissian (Earth-616)', 'Razorblade (Earth-616)']"
Order of the Web (Earth-616),"['Anya Corazon (Earth-616)', 'Cindy Moon (Earth-616)', 'Gwendolyn Stacy (Earth-65)', 'Jessica Drew (Earth-616)', 'Julia Carpenter (Earth-616)', 'Miles Morales (Earth-1610)']"
H.A.M.M.E.R. (Earth-616),"['Alex Jarl (Earth-616)', 'Alisande Morales (Earth-616)', 'Alvin Murphy (Earth-616)', 'Bullseye (Lester) (Earth-616)', 'Carolina Washington (Earth-616)', 'Christopher Walsh (Earth-616)', 'Commander Brothers (Earth-616)', 'David Heimerdinger (Earth-616)', 'Deidre Wentworth (Earth-616)', 'Derek Young (Earth-616)', 'Derrick Richardson (Earth-616)', 'Dugan Trodglen (Earth-616)', 'Eric Koenig (Earth-616)', 'Gertrude Jacks (Earth-616)', 'Henry McCoy (Earth-295)', 'Hijack (Earth-616)', 'Jebediah Young (Earth-616)', 'Jess Harrold (Earth-616)', 'Joe Grace (Earth-616)', 'Karla Sofen (Earth-616)', 'MacDonald Gargan (Earth-616)', 'Margaret Peterson (Earth-616)', 'Marvin Flumm (Earth-616)', 'Maxwell Markham (Earth-616)', 'Monica Rappaccini (Earth-616)', 'Nathan Embry (Earth-616)', 'Norah Winters (Earth-616)', 'Norman Osborn (Earth-616)', 'Ophelia Sarkissian (Earth-616)', 'Quasi-Motivational Destruct Organism (Earth-616)', 'Tomi Shishido (Earth-616)', 'Victoria Hand (Earth-616)', 'Viola Reichardt (Earth-616)', 'File:Brown (H.A.M.M.E.R.) (Earth-616) from Dark Reign Elektra Vol 1 4 001.png', 'File:Bullock (Earth-616) from Siege The Cabal Vol 1 1 001.png', 'File:Choi (Earth-616) from Thunderbolts Vol 1 137 001.png', 'File:Collins (Earth-616) from Daredevil Vol 1 504 001.png', 'File:Delpy (Earth-616) from Dark Reign The List Avengers Vol 1 1 001.png', 'File:Farthing (Earth-616) from Dark Reign Elektra Vol 1 2 001.png', 'File:Gormley (Earth-616) from Invincible Iron Man Vol 2 19 001.png', 'File:Johnson (H.A.M.M.E.R.) (Earth-616) from Dark Reign Elektra Vol 1 2 001.png', 'File:Jonesy (Earth-616) from Invincible Iron Man Vol 2 17 001.png', 'File:Marcie (Earth-616) from Skrull Kill Krew Vol 2 5 001.png', 'File:Massey (Earth-616) from Dark Reign Elektra Vol 1 2 001.png', 'File:McGraw (Earth-616) from Invincible Iron Man Vol 2 19 001.png', 'File:Perry (H.A.M.M.E.R.) (Earth-616) from Invincible Iron Man Vol 2 8 001.png', 'File:Steve (H.A.M.M.E.R.) (Earth-616) from Invincible Iron Man Vol 2 9 001.png']"
Lobo Technologies (Earth-616),"['Dominant Species', 'Maximus Lobo (Earth-616)']"
Survivors' Fleet (Earth-616),[]
Control (Earth-616),"['Bolivar Trask (Earth-616)', 'Cecil Slinkard (Earth-616)', 'Edward Harrison (Earth-616)', 'Howard Stark (Earth-616)', 'Lewis Haywerth (Earth-616)', 'Thaddeus Ross (Earth-616)']"
Serpent Squad (Fourth Team) (Earth-616),"['Ariana Saddiqi (Earth-616)', 'Davis Lawfers (Earth-616)', 'Gordon Fraley (Earth-616)', 'Ophelia Sarkissian (Earth-616)', 'Teresa Vasquez (Earth-616)']"
Montenegri Crime Family (Earth-616),[]
New Breed (Earth-616),"['Aurelle (Earth-616)', 'Ceyote (Earth-616)', 'Ikaris (Earth-616)', 'Phastos (Earth-616)', 'Psykos (Earth-616)', 'Ransak (Earth-616)', 'Sersi (Earth-616)', 'Suyin King (Earth-616)', 'Thena (Earth-616)']"
Miles Warren Clones (Earth-616),[]
"Law Offices of Jennifer Walters, PLLC (Earth-616)","['Angie Huang (Earth-616)', 'Hei Hei (Earth-616)', 'Jennifer Walters (Earth-616)', 'Patricia Walker (Earth-616)']"
N-Explorers (Earth-616),['Peter Petruski (Earth-616)']
Trenchcoat Mafia (Earth-616),['Anthony Masters (Earth-616)']
Called (Earth-616),[]
Black Samurai (Team) (Earth-616),[]
Church of Lucifer (Earth-616),"[""A'ishah (Earth-616)"", 'Anton Devine (Earth-616)']"
Bandit Murder Gang (Earth-616),[]
Crazy Eight (Earth-616),"['Alex Flores (Earth-616)', 'Argus LaVecchio (Earth-616)', 'Aundray Phelps (Earth-616)', 'Esteban Beach (Earth-616)', 'Ginger Beach (Earth-616)', 'Gloria Angel (Earth-616)', 'Jamie Flores (Earth-616)', 'LaHoya Scripps (Earth-616)']"
Followers of the Light (Earth-616),"['Basque (Earth-616)', 'Charn (Earth-616)', 'Doctor Tambura (Earth-616)', 'Sherna (Earth-616)']"
Church of Jesus Christ of Latter-day Saints (Earth-616),[]
Bhang Robotics (Earth-616),['Andrew Bhang (Earth-616)']
Hierophants (Earth-616),[]
Superhuman Restraint Unit (Earth-616),['Thomas Aramaki (Earth-616)']
Army of the Devil (Earth-616),[]
Billionaire Boys' Club (Earth-616),"['Arnold Ansen (Earth-616)', 'Roky Vance (Earth-616)']"
Mars Team (Earth-616),['Robert Urquhart III (Earth-616)']
Nine (Midnight Sons) (Earth-616),"['Daniel Ketch (Earth-616)', 'Eric Brooks (Earth-616)', 'Frank Drake (Earth-616)', 'Hannibal King (Earth-616)', 'Johnathon Blaze (Earth-616)', 'Louise Hastings (Earth-616)', 'Michael Morbius (Earth-616)', 'Samson Buchanan (Earth-616)', 'Victoria Montesi (Earth-616)']"
Maelstrom's Minions (Earth-616),"['Gronk (Earth-616)', 'Helio (Earth-616)', 'Phobius (Earth-616)']"
Black Cat's Gang (Earth-616),"['8-Ball (Hobgoblin) (Earth-616)', 'Beetle (Hobgoblin) (Earth-616)', 'Black Cats (Earth-616)', 'Boris Korpse (Earth-616)', 'Bruno Grainger (Earth-616)', 'Casey (Goblin Nation) (Earth-616)', 'Cindy Moon (Earth-616)', 'Cindy Moon (Jessica Drew) (Earth-616)', 'Clinton Barton (Earth-616)', 'Coyle Bagman (Earth-616)', 'Doctor Lusk (Earth-616)', 'Edward Lavell (Earth-616)', 'Felicia Hardy (Earth-616)', 'Frederick Myers (Earth-616)', 'Ghost (Earth-616)', 'Harris Porter (Earth-616)', 'Herman Schultz (Earth-616)', ""Jack O'Lantern (Crime-Master's) (Earth-616)"", 'James Sanders (Earth-616)', 'Johnathon Ohnn (Earth-616)', 'Killer Shrike (Hobgoblin) (Earth-616)', 'Lee Price (Earth-616)', 'Lorina Dodson (Earth-616)', 'MacDonald Gargan (Earth-616)', 'Mary Walker (Earth-616)', 'Maxwell Dillon (Earth-616)', 'Melter (Hobgoblin) (Earth-616)', 'Montenegro (Earth-616)', 'Percy & Barton Grimes (Earth-616)', 'Raymond Jones (Earth-616)', 'Repairman (Earth-616)', 'Ringer (Hobgoblin) (Earth-616)', 'Tarantula (Runaways) (Earth-616)', 'Tony Consiglio (Earth-616)']"
Nine (Wolfpack) (Earth-616),"['Lamarr Battle (Earth-616)', 'Melvin Crenshaw (Earth-616)', 'Overlord (The Nine) (Earth-616)']"
Warpjackers (Earth-616),"['Little Rico (Earth-616)', 'Ratzo (Earth-616)']"
X-Humed (Earth-616),"['Harold Leland (Earth-616)', 'Jack Winters (Earth-616)', 'Kevin Sidney (Earth-616)', 'Samuel Barone (Earth-616)', 'Scaleface (Earth-616)']"
Powers (Angels) (Earth-616),[]
Swordbearers of Krakoa (Earth-616),"['Brian Braddock (Earth-616)', 'Douglas Ramsey (Earth-616)', 'Elizabeth Braddock (Earth-616)', 'En Sabah Nur (Earth-616)', 'Illyana Rasputina (Earth-616)', 'James Howlett (Earth-616)', 'Nathan Summers (Earth-616)', 'Ororo Munroe (Earth-616)', 'Tomi Shishido (Earth-616)']"
Raiders (Earth-616),['David Gomez (Earth-616)']
Dynasty (Earth-616),"['Revolutionary (Dynasty) (Earth-616)', 'Saber (Earth-616)', 'Soldier One (Earth-616)', 'Star (Earth-616)', 'Weather Witch (Earth-616)']"
Genius In action Research Labs (Earth-616),"['Alexis Miranda (Earth-616)', 'Amber Silverstein (Earth-616)', 'Barbara Morse (Earth-616)', 'Brilliance (Justine) (Earth-616)', 'Jeanne Foucault (Earth-616)', 'Nadia Van Dyne (Earth-616)', 'Priscilla LaShayla Smith (Earth-616)', 'Priya Aggarwal (Earth-616)', 'Taina Miranda (Earth-616)', 'Ying Liu (Earth-616)']"
Doka'abi Clan (Earth-616),[]
Warforce (Earth-616),"['Barrett Gage (Earth-616)', 'Cutter (Warforce) (Earth-616)', 'Impakov Twins (Earth-616)', 'Shell (Warforce) (Earth-616)', 'Tranq (Warforce) (Earth-616)']"
Continuity Irish Republican Army (Earth-616),[]
Gwen Stacy Clones (Earth-616),[]
Daily Herald (Earth-616),['Joe Watson (Earth-616)']
Unus' Gang (Earth-616),"['Caiman (Earth-616)', 'Freakshow (Genoshan) (Earth-616)', 'Glamour (Earth-616)', 'Gunther Bain (Earth-616)', 'Hack (Mutant) (Earth-616)', 'Hub (Earth-616)', 'Lightning Rod (Earth-616)', 'Mortimer Toynbee (Earth-616)', 'Purge (Genoshan) (Earth-616)', 'Randall Darby (Earth-616)', 'Shola Inkose (Earth-616)', 'Toad-In-Waiting (Earth-616)', 'Wicked (Earth-616)']"
Atlantean Navy (Earth-616),[]
White Peacock (Earth-616),[]
Avatars (Earth-616),"['Ancestor (Earth-616)', 'Butterfly (Avatars) (Earth-616)', 'Deluge (Avatars) (Earth-616)', 'Foundry (Avatars) (Earth-616)', 'Lich (Earth-616)', 'Old Woman (Earth-616)', ""Q'Wake (Earth-616)"", 'Sickle (Avatars) (Earth-616)', 'Turmoil (Avatars) (Earth-616)', 'Warfist (Earth-616)']"
"Fantastic Four, Inc. (Earth-616)","['Bethany Palmer (Earth-616)', 'Christi Stoger (Earth-616)', 'Ethan Crane (Earth-616)', 'Jed Schultz (Earth-616)', 'Jian Feeta (Earth-616)', 'Jonathan Storm (Earth-616)', 'Margaret DeLandro (Earth-616)', 'Susan Storm (Earth-616)']"
Peristrike Force (Earth-616),"['Nikolai Vonya (Earth-616)', 'Scattershot (Natalya) (Earth-616)', 'Siberion (Earth-616)', 'Volga Belle (Earth-616)']"
Warriors of the Deadly Dagger (Earth-616),[]
Young X-Men (Earth-616),"['Alisa Tager (Earth-616)', 'Danielle Moonstar (Earth-616)', 'Donald Pierce (Earth-616)', 'Eric Gitter (Earth-616)', 'Jonas Graymalkin (Earth-616)', 'Nicholas Gleason (Earth-616)', 'Roberto Da Costa (Earth-616)', 'Ruth Aldine (Earth-616)', 'Santo Vaccarro (Earth-616)', 'Sooraya Qadir (Earth-616)', 'Victor Borkowski (Earth-616)']"
AccuTech (Earth-616),"['Abraham Zimmer (Earth-616)', 'AccuTech Board of Directors (Earth-616)', ""Gilbert O'Conner (Earth-616)""]"
Red Mist (Earth-616),['Shaid (Earth-616)']
Project Ultra-Tech (Earth-616),"['Eric Savin (Earth-616)', 'Gina Dyson (Earth-616)', 'Mako (Project Ultra-Tech) (Earth-616)']"
Kansas City Police Department (Earth-616),[]
Rocketeers (Earth-616),[]
Interplaneteur Inc (Earth-616),[]
Aizukotetsu-kai (Earth-616),"['Boss (Yakuza) (Earth-616)', 'Shigeru (Earth-616)', 'Widdle Wade (Earth-616)']"
Old Horned Gentry (Earth-616),[]
Kron-bots (Earth-616),[]
S.P.E.A.R. (Earth-616),"['Devastator (Ascendants) (Earth-616)', 'Grace Tam (Earth-616)', 'Saber (Earth-616)', 'Sun Wukong (Earth-616)', 'Weather Witch (Earth-616)', 'Xian Zheng (Earth-616)']"
Neo-Soviets (Earth-616),"['Actor (Spy) (Earth-616)', 'Alexi Garnoff (Earth-616)', 'Andre Rostov (Earth-616)', 'Arkady Rossovich (Earth-616)', 'Boris Lubov (Earth-616)', 'Dimitri Bukharin (Earth-616)', 'Fantasia (Earth-616)', 'Ivan Krushki (Earth-616)', 'Kondrati Topolov (Earth-616)', 'Laynia Petrovna (Earth-616)', 'Mikhail Ursus (Earth-616)', 'Milos Masaryk (Earth-616)', 'Nikolai Krylenko (Earth-616)', 'Nikolai Vronsky (Earth-616)']"
Corporation (Earth-616),"['Brian Hibbs (Earth-616)', 'Contract (Earth-616)', 'Curtiss Jackson (Earth-616)', 'Denise Baranger (Earth-616)', 'Don Thomas (Earth-616)', 'Eugene Stivak (Earth-616)', 'Fera (Earth-616)', 'Filippo Ayala (Earth-616)', 'Frank Payne (Earth-616)', 'Harry Paul (Earth-616)', 'James Lucas, Jr. (Earth-616)', 'James Wilson (Earth-616)', 'Johann Fennhoff (Earth-616)', 'Jonathan Hemlock (Earth-616)', 'Karla Sofen (Earth-616)', 'Karlin Malus (Earth-616)', 'Kingsize (Earth-616)', 'Konik (Earth-616)', 'Lloyd Bloch (Earth-616)', 'Lyle Dekker (Earth-616)', 'Manslaughter (Earth-616)', 'Mister Miracle (Earth-616)', 'Night Flyer (Earth-616)', 'Paul Scheuring (Earth-616)', 'Richard Yurocko (Earth-616)', 'Rocketeers (Earth-616)', 'Samuel Saxon (Earth-616)', 'Simon Granville (Earth-616)', 'Simon Maris (Earth-616)', 'Troubleshooter (Earth-616)', 'Veda (Corporation) (Earth-616)', 'Veil (Corporation) (Earth-616)']"
Societe des Sadiques (Earth-616),"['Ernst (Nazi) (Earth-616)', 'Liberation McAllister (Earth-616)', 'Lyla DeCriscio (Earth-616)', 'Sol Edmund (Earth-616)', 'Sun King (Patient 86) (Earth-616)', 'Tilt (Earth-616)', 'Truth (Moon Knight Foe) (Earth-616)']"
Cult of Zhered-Na (Earth-616),"['Dakimh (Earth-616)', 'Illyana Kale (Earth-616)', 'Joshua Kale (Earth-616)']"
Waterfront Gang (Earth-616),[]
Clan Yashida (Earth-616),"['Amiko Kobayashi (Earth-616)', 'Fukuko (Earth-616)', 'Ichiro (Earth-616)', 'James Howlett (Earth-616)', 'Keniuchio Harada (Earth-616)', 'Kojima Noburo (Earth-616)', 'Leyu Yoshida (Earth-616)', 'Mariko Yashida (Earth-616)', 'Masamune (Earth-616)', 'Noburu-Hideki (Earth-616)', 'Rikuto (Earth-616)', 'Saburo Yoshida (Earth-616)', 'Shingen Harada (Earth-616)', 'Shingen Harada II (Earth-616)', 'Shiro Yoshida (Earth-616)', 'Tomo Yoshida (Earth-616)', 'Yashida Hoken (Earth-616)', 'Yoshi (Earth-616)', ""Yoshi's Mother (Earth-616)""]"
Chauvin Family (Earth-616),['Willie Chauvin (Earth-616)']
Hammond Labs (Earth-616),"['Nicholas Benson (Earth-616)', 'Niels (Earth-616)', 'Robert Baldwin (Earth-616)']"
Foreign Invasion Security Team (Earth-616),"[""X'Andria (Earth-616)""]"
Chicago Spectator (Earth-616),"['Analisa Medina (Earth-616)', 'Dakota North (Earth-616)', 'Jeryn Hogarth (Earth-616)', 'Luke Cage (Earth-616)', 'Micheal Hamilton (Earth-616)']"
Circle (Earth-616),"['Alexandra Draguno (Earth-616)', 'Arthur (Circle) (Earth-616)', 'Denga Bautista (Earth-616)', 'Galahad (Wilheim) (Earth-616)', 'Gawain (Circle) (Earth-616)', 'Merlin (Meredith) (Earth-616)', 'Percival (Circle) (Earth-616)', 'Wayne Dubrovnic (Earth-616)']"
Galactic Council (Earth-616),"['Aakon', 'Alberik (Earth-616)', 'Annihilus (Earth-616)', 'Bartos (Earth-616)', 'Basaltar (Earth-616)', 'Blastaar (Earth-616)', 'Crystalia Amaquelin (Earth-616)', 'Dibdeb (Earth-616)', 'Fayrelyte Strongheart (Earth-616)', 'Freyja Freyrdottir (Earth-616)', 'Gorgon Petragon (Earth-616)', 'Groot (Earth-616)', ""J'son (Earth-616)"", 'Kallark (Earth-616)', 'Karnak Mander-Azur (Earth-616)', ""Kl'rt (Earth-616)"", 'Kreddik (Earth-616)', 'Kronaster Sintariis (Earth-616)', 'Lilandra Neramani (Earth-616)', 'Manat (Earth-616)', 'Medusalith Amaquelin (Earth-616)', 'Mentacle (Earth-616)', 'Nelet Pa (Earth-616)', 'Noh-Varr (Earth-200080)', 'Nymbis Sternhoof (Earth-616)', 'Ororo Munroe (Earth-616)', 'Peacebringer (Earth-616)', 'Profiteer (Earth-616)', 'Queen of the Brood (Galactic Council) (Earth-616)', 'Richard Rider (Earth-616)', 'Ronan (Earth-616)', 'Sneepers', 'Stote (Earth-616)', 'Subguardian Oracle-2 (Earth-616)', 'Supreme Intelligence (Earth-616)', 'Victor von Doom (Earth-616)', 'Victoria (Spartax) (Earth-616)', 'Wibbow (Earth-616)', 'Y-Gaaar (Earth-616)', 'Zoralis Gupa (Earth-616)']"
Brigade of Realms (Earth-616),['One-Eyed Bill (Earth-616)']
Stark Pharmaceutical (Earth-616),[]
Trojan Guard (Earth-616),[]
Bewitchers of the Night (Earth-616),[]
Eternity Watch (Earth-616),"['Egros (Earth-616)', 'Emmett Proudhawk (Earth-616)', 'Galan (Earth-616)', 'Infinaut (Earth-616)', 'Shaper of Worlds (Earth-616)']"
Chaos (Organization) (Earth-616),"['David Levine (Earth-616)', 'Prophet (Chaos) (Earth-616)', 'Rashid (Earth-616)', 'Tori Raven (Earth-616)']"
Ulster Volunteer Force (Earth-616),[]
Purity (Earth-616),"['Alice Tremaine (Earth-616)', 'Jeffrey Holloway (Earth-616)', ""Marie D'Ancanto (Earth-616)"", 'Thomas More (Earth-616)']"
Black Cloaks (Earth-616),[]
