name,links,number_links,leader,member,ally,enemy
Ixar_(Earth-616),"['Pietro_Maximoff_(Earth-616)', 'Wanda_Maximoff_(Earth-616)']",2,[],[],[],['Avengers']
Gabriel_Jones_(Earth-616),"['Anthony_Stark_(Earth-616)', 'Gabriel_Jones_(Earth-616)', 'Marvin_Flumm_(Earth-616)', 'Timothy_Dugan_(Earth-616)', 'Wolfgang_von_Strucker_(Earth-616)', 'Nicholas_Fury_(Earth-616)', 'James_Woo_(Earth-616)', 'Eric_Koenig_(Earth-616)', 'Tomi_Shishido_(Earth-616)', 'Johann_Shmidt_(Earth-616)', 'Steven_Rogers_(Earth-616)']",11,[],"['Strategic Homeland Intervention, Enforcement and Logistics Division']",[],[]
Kevin_Masterson_(Earth-616),"['Aleksei_Sytsevich_(Earth-616)', 'Amadeus_Cho_(Earth-616)', 'Víctor_Álvarez_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'Laura_Kinney_(Earth-616)', 'Namor_McKenzie_(Earth-616)', 'Kevin_Masterson_(Earth-616)', 'Anya_Corazon_(Earth-616)', 'Eric_Masterson_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Sharon_Carter_(Earth-616)']",11,[],['Avengers'],[],[]
Ampere_(Earth-616),"['Lawrence_Cranston_(Earth-616)', 'Anthony_Masters_(Earth-616)', 'Knull_(Earth-616)']",3,[],['Thunderbolts'],[],[]
Paras_Gavaskar_(Earth-616),"['James_Howlett_(Earth-616)', 'Rogue_(Anna_Marie)_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Victor_Borkowski_(Earth-616)', 'Jean-Paul_Beaubier_(Earth-616)', ""S'ym_(Earth-616)"", ""Xi'an_Coy_Manh_(Earth-616)"", 'Scott_Summers_(Earth-616)', 'Laura_Kinney_(Earth-616)', 'Belasco_(Earth-616)', 'Santo_Vaccarro_(Earth-616)', 'Emma_Frost_(Earth-616)', 'Alani_Ryan_(Earth-616)', 'Norman_Osborn_(Earth-616)']",14,[],['X-Men'],[],[]
Kevin_MacTaggert_(Earth-616),"['Charlie_Cluster-7_(Earth-616)', 'Piotr_Rasputin_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Lucas_Bishop_(Earth-1191)', 'Monet_St._Croix_(Earth-616)', 'Warren_Worthington_III_(Earth-616)', 'Charles_Xavier_(Earth-616)', 'Rahne_Sinclair_(Earth-616)', 'Nathan_Summers_(Earth-616)', 'James_Howlett_(Earth-616)', 'Marvin_Flumm_(Earth-616)', 'Lorna_Dane_(Earth-616)', 'Kurt_Wagner_(Earth-616)', 'Julio_Richter_(Earth-616)', 'Shadow_King_(Multiverse)', 'Knull_(Earth-616)', 'James_Madrox_(Earth-616)', 'Rogue_(Anna_Marie)_(Earth-616)', 'Elizabeth_Braddock_(Earth-616)', 'Raven_Darkholme_(Earth-616)', 'Kevin_MacTaggert_(Earth-616)', 'Sophie_Cuckoo_(Earth-616)', 'Santo_Vaccarro_(Earth-616)', 'Moira_MacTaggert_(Earth-TRN748)', 'Sean_Cassidy_(Earth-616)', 'Jean_Grey_(Earth-616)', 'Abigail_Brand_(Earth-616)', 'Scott_Summers_(Earth-616)', 'Esme_Cuckoo_(Earth-616)', 'Paige_Guthrie_(Earth-616)', 'Tomi_Shishido_(Earth-616)', 'Hope_Abbott_(Earth-616)', 'Ruth_Aldine_(Earth-616)']",33,[],[],[],['X-Men']
Fan_Fei_(Earth-616),"['Lei-Kung_(Earth-616)', 'Vnn_(Earth-616)', 'Zgreb_(Earth-616)', 'Fan_Fei_(Earth-616)', 'Mephisto_(Earth-616)']",5,[],"['Avengers (1,000,000 BC)']",[],[]
Eelak_(Earth-616),"['Stallior_(Earth-616)', 'Crystalia_Amaquelin_(Earth-616)', 'Artur_Zarrko_(Earth-6297)', 'Leonus_(Earth-616)', 'Thor_Odinson_(Earth-616)', 'Fabian_Cortez_(Earth-616)', 'Namor_McKenzie_(Earth-616)', 'Maximus_Boltagon_(Earth-616)', 'Benjamin_Grimm_(Earth-616)', 'Medusalith_Amaquelin_(Earth-616)', 'Morgan_Le_Fay_(Earth-616)', 'Gorgon_Petragon_(Earth-616)', 'Nathaniel_Richards_(Earth-616)']",13,[],['Inhuman Royal Guard'],[],[]
Dragon_of_the_Moon_(Earth-616),"['Arthur_Douglas_(Earth-616)', 'Heather_Douglas_(Earth-616)', 'Thanos_(Earth-616)', 'Maelstrom_(Earth-616)', 'Mordred_(Earth-616)', 'Phyla-Vell_(Earth-616)', 'Wendell_Vaughn_(Earth-616)']",7,[],[],[],['Defenders']
Stewart_Ward_(Earth-616),"['Loxias_Crown_(Earth-616)', 'Edward_Brock_(Earth-616)', 'William_Baker_(Earth-616)', 'Peter_Petruski_(Earth-616)', 'Bullseye_(Lester)_(Earth-616)', 'Maxwell_Dillon_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Marrow_(Sarah)_(Earth-616)', 'Otto_Octavius_(Earth-616)', 'Quentin_Beck_(Earth-616)', 'Robert_Kelly_(Earth-616)', 'Sergei_Kravinoff_(Earth-616)']",12,[],"['Strategic Homeland Intervention, Enforcement and Logistics Division']",[],[]
Resurrection_Stone_Woman_(Earth-616),[],0,[],[],[],['Defenders']
Monet_St._Croix_(Earth-616),"['Charlie_Cluster-7_(Earth-616)', 'Gateway_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Monet_St._Croix_(Earth-616)', 'Warren_Worthington_III_(Earth-616)', 'Charles_Xavier_(Earth-616)', 'Amora_(Earth-616)', 'Leonard_Samson_(Earth-616)', 'Quintavius_Quire_(Earth-616)', 'Hollow_(Earth-616)', 'Joshua_Foley_(Earth-616)', 'Marvin_Flumm_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Phoenix_Force_(Earth-616)', 'Victor_Creed_(Earth-616)', 'Guido_Carosella_(Earth-616)', 'James_Madrox_(Earth-616)', 'Armando_Muñoz_(Earth-616)', 'Eva_Bell_(Earth-616)', 'Raven_Darkholme_(Earth-616)', 'Kevin_MacTaggert_(Earth-616)', 'Hades_(Earth-616)', 'Jubilation_Lee_(Earth-616)', 'Everett_Thomas_(Earth-616)', 'Emma_Frost_(Earth-616)', 'Callisto_(Earth-616)', 'Moira_MacTaggert_(Earth-TRN748)', 'Shilpa_Khatri_(Earth-616)', 'Rachel_Summers_(Earth-811)', 'Sean_Cassidy_(Earth-616)', 'Jean_Grey_(Earth-616)', 'Jonothon_Starsmore_(Earth-616)', 'Paige_Guthrie_(Earth-616)', 'Cain_Marko_(Earth-616)', 'Hope_Summers_(Earth-616)', 'Karima_Shapandar_(Earth-616)', 'Arkady_Rossovich_(Earth-616)']",37,[],['X-Men'],[],[]
Typhon_(Earth-616),"['Hercules_Panhellenios_(Earth-616)', 'Hades_(Earth-616)']",2,[],[],[],['Avengers']
Angela_del_Toro_(Earth-616),"['Angela_del_Toro_(Earth-616)', 'Curtis_Connors_(Earth-616)', 'Bullseye_(Lester)_(Earth-616)', 'Maki_Matsumoto_(Earth-616)', 'Carlos_LaMuerto_(Earth-616)', 'Ava_Ayala_(Earth-616)', 'Matthew_Murdock_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Roberto_Da_Costa_(Earth-616)', 'Daniel_Rand_(Earth-616)', 'Franklin_Nelson_(Earth-616)', 'Natalia_Romanova_(Earth-616)', ""T'Challa_(Earth-616)""]",13,['Hand'],['Hand'],[],[]
Víctor_Álvarez_(Earth-616),"['Anthony_Stark_(Earth-616)', 'Bullseye_(Lester)_(Earth-616)', 'Mother_(Interdimensional_Parasite)_(Earth-TRN287)', 'Monica_Rambeau_(Earth-616)', 'Amadeus_Cho_(Earth-616)', 'Matthew_Murdock_(Earth-616)', 'Luke_Cage_(Earth-616)', 'Ava_Ayala_(Earth-616)', 'Samuel_Wilson_(Earth-616)', 'Laura_Kinney_(Earth-616)', 'Kevin_Masterson_(Earth-616)', 'Anya_Corazon_(Earth-616)', 'Daniel_Rand_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Norman_Osborn_(Earth-616)']",15,[],['Avengers'],[],[]
Paladin_(Earth-616),"['Shang-Chi_(Earth-616)', 'Colleen_Wing_(Earth-616)', 'Paladin_(Earth-616)', 'Norman_Osborn_(Earth-616)', 'Henry_Pym_(Earth-616)', ""Eric_O'Grady_(Earth-616)"", 'Walther_Theodoric_(Earth-616)', 'Victor_von_Doom_(Earth-616)', 'Matthew_Murdock_(Earth-616)', 'Jonathan_Walker_(Earth-616)', 'Frank_Castle_(Earth-616)', 'Dane_Whitman_(Earth-616)', 'Melissa_Gold_(Earth-616)', 'Rachel_Leighton_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'Carmilla_Black_(Earth-616)', 'Jubilation_Lee_(Earth-616)', 'Emma_Frost_(Earth-616)', 'Janet_Van_Dyne_(Earth-616)', 'Odin_Borson_(Earth-616)', 'Zebediah_Killgrave_(Earth-616)', 'Ghost_(Earth-616)', 'Mister_X_(Earth-616)', 'Calvin_Zabo_(Earth-616)', 'Natalia_Romanova_(Earth-616)']",25,[],['Thunderbolts'],[],[]
Joseph_(Earth-616),"['Piotr_Rasputin_(Earth-616)', 'Rogue_(Anna_Marie)_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Joseph_(Earth-616)', 'Scott_Summers_(Earth-616)', 'Cain_Marko_(Earth-616)', 'Kwannon_(Earth-616)', 'Danger_(Earth-616)', 'Emma_Frost_(Earth-616)']",9,[],['X-Men'],[],[]
Whiplash_(Thunderbolts)_(Earth-616),"['Blacklash_(Thunderbolts)_(Earth-616)', 'Andreas_von_Strucker_(Earth-616)']",2,[],['Thunderbolts'],[],[]
Harold_Osborn_(Earth-616),"['Dmitri_Smerdyakov_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Stephen_Strange_(Earth-616)', 'Quentin_Beck_(Earth-616)', 'Harold_Osborn_(Earth-616)', 'Mephisto_(Earth-616)', 'Norman_Osborn_(Earth-616)', 'Eugene_Thompson_(Earth-616)']",8,[],['Dark Avengers'],[],[]
Kevin_Plunder_(Earth-616),"['Peter_Parker_(Earth-616)', 'Wanda_Maximoff_(Earth-616)', ""T'Challa_(Earth-616)"", 'Sergei_Kravinoff_(Earth-616)', 'Jessica_Jones_(Earth-616)', 'Maa-Gor_(Earth-616)', 'Barbara_Morse_(Earth-616)', 'Matthew_Murdock_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Hercules_Panhellenios_(Earth-616)', 'Franklin_Nelson_(Earth-616)', 'Frank_Castle_(Earth-616)', 'Ulysses_Klaw_(Earth-616)', 'Zabu_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Aleksei_Sytsevich_(Earth-616)', 'Kevin_Plunder_(Earth-616)', 'Jean_Grey_(Earth-616)', 'Warren_Worthington_III_(Earth-616)']",19,[],['Avengers'],[],[]
Psycho-Man_(Earth-616),"['Katherine_Pryde_(Earth-616)', 'Jonathan_Storm_(Earth-616)', 'Richard_Jones_(Earth-616)', 'Warlock_(Technarch)_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Psycho-Man_(Earth-616)', 'Jennifer_Walters_(Earth-616)', 'Benjamin_Grimm_(Earth-616)', 'Captain_Universe_(Earth-616)', 'Susan_Storm_(Earth-616)', ""Hate-Monger_(Psycho-Man's_Creation)_(Earth-616)"", ""T'Challa_(Earth-616)""]",12,[],[],[],"['X-Men', 'Fantastic Four']"
Paul_Provenzano_(Earth-616),"['Alison_Blaire_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Jean_Grey_(Earth-616)', 'Maggott_(Japheth)_(Earth-616)', 'Joanna_Cargill_(Earth-616)', 'Wendy_Sherman_(Earth-616)', 'Jean-Paul_Beaubier_(Earth-616)']",7,[],['X-Men'],[],[]
Jason_Pierce_(Earth-616),"['St._John_Allerdyce_(Earth-616)', 'Anya_Corazon_(Earth-616)']",2,[],[],[],['Thunderbolts']
Jerome_Beechman_(Earth-616),"['Frank_Castle_(Earth-616)', 'Anthony_Masters_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Matthew_Murdock_(Earth-616)', 'Eric_Williams_(Earth-616)', 'Stephen_Strange_(Earth-616)', 'Arcade_(Earth-616)', 'Jennifer_Walters_(Earth-616)', 'Benjamin_Grimm_(Earth-616)', ""Eric_O'Grady_(LMD)_(Earth-616)"", 'Parker_Robbins_(Earth-616)', 'Alexei_Kravinoff_(Earth-616)', 'Jerome_Beechman_(Earth-616)', 'Sergei_Kravinoff_(Earth-616)']",14,[],[],[],"['Fantastic Four', 'Defenders']"
Val_Ventura_(Earth-616),"['Anthony_Stark_(Earth-616)', 'DeMarr_Davis_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Ashley_Crawford_(Earth-616)', 'Hercules_Panhellenios_(Earth-616)', 'Norrin_Radd_(Earth-616)', 'Craig_Hollis_(Earth-616)', 'Benjamin_Grimm_(Earth-616)', 'Loki_Laufeyson_(Ikol)_(Earth-616)', 'Goodness_Silva_(Earth-616)', 'Doreen_Green_(Earth-616)']",11,[],['Avengers'],[],[]
Jonathan_Storm_(Earth-616),"['Morris_Bench_(Earth-616)', 'Piotr_Rasputin_(Earth-616)', 'Jonathan_Storm_(Earth-616)', 'Max_Eisenhardt_(Earth-616)', 'Phillip_Masters_(Earth-616)', 'Devos_(Earth-616)', 'Samuel_Smithers_(Earth-616)', 'Annihilus_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Namor_McKenzie_(Earth-616)', 'Jennifer_Walters_(Earth-616)', 'Alicia_Masters_(Earth-616)', 'Wyatt_Wingfoot_(Earth-616)', 'Nathaniel_Richards_(Earth-616)', 'Onslaught_(Psychic_Entity)_(Earth-616)', ""T'Challa_(Earth-616)"", 'Paibok_(Earth-616)', 'Michel_Berman_(Earth-616)', 'Abraxas_(Multiverse)', 'Jim_Hammond_(Earth-616)', 'Reynard_Slinker_(Earth-616)', ""Kl'rt_(Earth-616)"", 'Frankie_Raye_(Earth-616)', 'Scott_Lang_(Earth-616)', 'Kallark_(Earth-616)', 'Ulysses_Klaw_(Earth-616)', 'Leopold_Stryke_(Earth-616)', 'Robert_Drake_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'William_Baker_(Earth-616)', 'Rogue_(Anna_Marie)_(Earth-616)', 'Peter_Petruski_(Earth-616)', 'Akihiro_(Earth-616)', 'Nicholas_Fury_(Earth-616)', 'Pietro_Maximoff_(Earth-616)', 'Maximus_Boltagon_(Earth-616)', 'Benjamin_Grimm_(Earth-616)', 'Susan_Storm_(Earth-616)', 'Captain_Barracuda_(Earth-616)', 'Galan_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Beyonder_(Earth-616)', 'Emily_Guerrero_(Earth-616)', 'Wendell_Vaughn_(Earth-616)', 'Alden_Maas_(Earth-616)', 'Crystalia_Amaquelin_(Earth-616)', 'Ororo_Munroe_(Earth-616)', 'Medusalith_Amaquelin_(Earth-616)', 'Abner_Jenkins_(Earth-616)', 'Morrat_(Earth-616)', 'Thundra_(Earth-715)']",51,[],"['Avengers', 'Fantastic Four', 'Heralds of Galactus']",[],[]
Dane_Whitman_(Earth-616),"['Loki_Laufeyson_(Earth-616)', 'Supreme_Intelligence_(Earth-616)', 'Namor_McKenzie_(Earth-616)', 'En_Dwi_Gast_(Earth-616)', 'Bennet_du_Paris_(Earth-616)', 'Amora_(Earth-616)', 'Henry_Pym_(Earth-616)', 'Vlad_Dracula_(Earth-616)', 'James_Howlett_(Earth-616)', 'Brunnhilde_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Elsa_Bloodstone_(Earth-616)', 'Red_Widow_(Winter_Guard)_(Earth-616)', 'Phoenix_Force_(Earth-616)', ""Kl'rt_(Earth-616)"", 'Knull_(Earth-616)', 'Aragorn_(Earth-616)', 'Dane_Whitman_(Earth-616)', 'Anthony_Stark_(Earth-616)', 'Brian_Braddock_(Earth-616)', 'Pietro_Maximoff_(Earth-616)', 'Morgan_Le_Fay_(Earth-616)', 'Steven_Rogers_(Earth-616)', 'Mordred_(Earth-616)', 'Marrina_Smallwood_(Earth-616)', 'Crystalia_Amaquelin_(Earth-616)', 'Nathaniel_Richards_(Kang)_(Earth-6311)', 'Jacques_Duquesne_(Earth-616)', 'Cain_Marko_(Earth-616)', 'Stephen_Strange_(Earth-616)', 'Luke_Cage_(Earth-616)', 'Ororo_Munroe_(Earth-616)', 'Vision_(Earth-616)', 'Calvin_Zabo_(Earth-616)', 'Sersi_(Earth-616)']",35,['Avengers'],"['Avengers', 'Defenders']",[],['Hydra']
Hit-Monkey_(Earth-616),"['Bullseye_(Lester)_(Earth-616)', 'Peter_Parker_(Earth-616)', 'Wade_Wilson_(Earth-616)']",3,[],"['Strategic Homeland Intervention, Enforcement and Logistics Division']",[],[]
Jarno_Sprague_(Earth-616),[],0,[],['Hydra'],[],[]
Xanth_(Earth-81049),"['Susan_Storm_(Earth-616)', 'Shareen_(Earth-81049)', 'Jonathan_Storm_(Earth-616)', 'Benjamin_Grimm_(Earth-616)']",4,[],[],[],['Fantastic Four']
High-Zero_(Earth-616),['Wolfgang_von_Strucker_(Earth-616)'],1,[],['Hydra'],[],[]
Jeanne_Foucault_(Earth-616),"['Max_Eisenhardt_(Earth-616)', 'Brandon_Sharpe_(Earth-616)', 'Humberto_Lopez_(Earth-616)', 'Laura_Kinney_(Earth-616)', 'Jennifer_Takeda_(Earth-616)', 'Norman_Osborn_(Earth-616)', 'Arcade_(Earth-616)', 'Mother_(Interdimensional_Parasite)_(Earth-TRN287)', 'Jocasta_Pym_(Earth-616)', 'Ava_Ayala_(Earth-616)', 'Phoenix_Force_(Earth-616)', 'Pietro_Maximoff_(Earth-616)', 'Nadia_Van_Dyne_(Earth-616)', 'Jeanne_Foucault_(Earth-616)', 'Emma_Frost_(Earth-616)', 'Juston_Seyfert_(Earth-616)', 'Anthony_Masters_(Earth-616)', 'Thanos_(Earth-616)', 'Ken_Mack_(Earth-616)', 'Henry_Pym_(Earth-616)']",20,[],['Avengers'],[],[]
Eliot_Franklin_(Thunderball)_(Earth-616),"['Nathaniel_Essex_(Earth-616)', 'James_Howlett_(Earth-616)', 'Maxwell_Dillon_(Earth-616)', 'Raven_Darkholme_(Earth-616)', 'Monica_Rambeau_(Earth-616)', 'Victor_von_Doom_(Earth-616)', 'Bruce_Banner_(Earth-616)', 'Loki_Laufeyson_(Earth-616)', 'Mary_MacPherran_(Earth-616)', 'Arkon_(Earth-616)', ""Eric_O'Grady_(LMD)_(Earth-616)"", 'Dirk_Garthwaite_(Earth-616)', 'Parker_Robbins_(Earth-616)', 'Thundra_(Earth-715)', 'Mad_Thinker_(Julius)_(Earth-616)']",15,[],[],[],['Fantastic Four']
Evan_Sabahnur_(Earth-616),"['Charlie_Cluster-7_(Earth-616)', 'Katherine_Pryde_(Earth-616)', 'Johann_Shmidt_(Clone)_(Earth-616)', 'Elizabeth_Braddock_(Earth-616)', 'Arkady_Rossovich_(Earth-616)', 'Akihiro_(Earth-616)', 'Scott_Summers_(Earth-616)', 'Wade_Wilson_(Earth-616)', 'Roderick_Campbell_(Earth-811)', 'Stephen_Strange_(Earth-616)', 'Nathaniel_Grey_(Earth-295)', 'Charles_Xavier_(Earth-616)', 'En_Sabah_Nur_(Earth-616)', 'Henry_McCoy_(Earth-616)', 'Warren_Worthington_III_(Earth-616)']",15,['X-Men'],['X-Men'],[],[]
Morrat_(Earth-616),"['Jonathan_Storm_(Earth-616)', 'Susan_Storm_(Earth-616)']",2,[],[],[],['Fantastic Four']
